开始时间：2020年08月06日 13:51:57 												
传感器1	加速度X	加速度Y	加速度Z	角速度X	角速度Y	角速度Z	角度X	角度Y	角度Z	传感器2	加速度X	加速度Y
Mac:DA:3E:20:B6:30:BA传感器0	-0.11	0.25	1.75	122.56	122.56	-3.17	1.76	-2.53	74.86	相对角度姿态	1.76	-2.53
Mac:DA:3E:20:B6:30:BA传感器0	-0.03	0.23	1.67	47.06	47.06	8.67	8.83	-1.68	75.37	相对角度姿态	8.83	-1.68
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.16	1.13	-20.69	-20.69	-2.14	9.75	0.26	76.49	相对角度姿态	9.75	0.26
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.15	0.86	-21.36	-21.36	-7.45	8.43	1.07	76.9	相对角度姿态	8.43	1.07
Mac:DA:3E:20:B6:30:BA传感器0	-0.06	0.1	0.93	-6.84	-6.84	-7.81	8.01	1.7	76.71	相对角度姿态	8.01	1.7
Mac:DA:3E:20:B6:30:BA传感器0	-0.04	0.12	0.94	0.24	0.24	-4.21	7.82	2.09	76.66	相对角度姿态	7.82	2.09
Mac:DA:3E:20:B6:30:BA传感器0	0.02	0.12	0.92	-2.93	-2.93	1.95	7.42	1.66	76.82	相对角度姿态	7.42	1.66
Mac:DA:3E:20:B6:30:BA传感器0	0.3	0.12	1	2.69	2.69	-3.17	7.82	0.44	76.9	相对角度姿态	7.82	0.44
Mac:DA:3E:20:B6:30:BA传感器0	0.51	0.17	0.96	-3.36	-3.36	-9.77	7.65	0.08	76.77	相对角度姿态	7.65	0.08
Mac:DA:3E:20:B6:30:BA传感器0	0.28	0.43	1.06	-13.06	-13.06	44.92	7.99	3.08	79.32	相对角度姿态	7.99	3.08
Mac:DA:3E:20:B6:30:BA传感器0	-0.17	0.31	0.8	-39.12	-39.12	113.89	5.36	2.72	86.43	相对角度姿态	5.36	2.72
Mac:DA:3E:20:B6:30:BA传感器0	-0.96	0.24	0.89	-0.67	-0.67	91	6.8	2.76	96.42	相对角度姿态	6.8	2.76
Mac:DA:3E:20:B6:30:BA传感器0	-0.37	0.07	0.99	7.87	7.87	30.94	8.64	4.37	100.4	相对角度姿态	8.64	4.37
Mac:DA:3E:20:B6:30:BA传感器0	-0.27	0.02	0.94	-1.53	-1.53	12.08	8.26	8.09	102.07	相对角度姿态	8.26	8.09
Mac:DA:3E:20:B6:30:BA传感器0	-0.26	0.12	0.9	1.95	1.95	1.1	7.77	10.88	102.56	相对角度姿态	7.77	10.88
Mac:DA:3E:20:B6:30:BA传感器0	-0.09	0.16	1.03	0.12	0.12	-2.69	8.27	11.35	101.8	相对角度姿态	8.27	11.35
Mac:DA:3E:20:B6:30:BA传感器0	-0.1	0.13	0.94	-0.61	-0.61	-2.38	8.11	11.28	101.25	相对角度姿态	8.11	11.28
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.94	2.01	2.01	-0.31	8.15	11.32	100.88	相对角度姿态	8.15	11.32
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.09	0.92	-4.09	-4.09	1.34	8.02	11.22	100.45	相对角度姿态	8.02	11.22
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.16	0.98	-3.48	-3.48	-3.78	8.21	11.21	100.37	相对角度姿态	8.21	11.21
Mac:DA:3E:20:B6:30:BA传感器0	-0.12	0.13	0.94	5.25	5.25	-3.66	7.97	11.17	99.55	相对角度姿态	7.97	11.17
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.1	0.93	-1.46	-1.46	2.44	7.96	11.47	99.17	相对角度姿态	7.96	11.47
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.93	1.4	1.4	-1.4	8.18	11.41	98.87	相对角度姿态	8.18	11.41
Mac:DA:3E:20:B6:30:BA传感器0	-0.14	0.13	0.94	-1.77	-1.77	1.04	8.21	11.06	98.57	相对角度姿态	8.21	11.06
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.13	0.94	-1.65	-1.65	0.92	8.19	10.99	98.46	相对角度姿态	8.19	10.99
Mac:DA:3E:20:B6:30:BA传感器0	-0.18	0.13	0.94	0.49	0.49	0.98	8.21	10.9	98.37	相对角度姿态	8.21	10.9
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.11	0.93	-2.2	-2.2	0.43	8.12	10.84	98.12	相对角度姿态	8.12	10.84
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.94	0.98	0.98	3.3	8.17	10.82	98	相对角度姿态	8.17	10.82
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.14	0.93	-0.24	-0.24	0.24	8.28	10.85	97.81	相对角度姿态	8.28	10.85
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.95	-1.04	-1.04	-0.12	8.28	10.7	97.62	相对角度姿态	8.28	10.7
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.96	-1.4	-1.4	1.59	8.21	10.54	97.44	相对角度姿态	8.21	10.54
Mac:DA:3E:20:B6:30:BA传感器0	-0.15	0.13	0.94	-1.59	-1.59	0	8.04	10.43	97.27	相对角度姿态	8.04	10.43
Mac:DA:3E:20:B6:30:BA传感器0	-0.16	0.13	0.95	-3.23	-3.23	0	7.89	10.32	97.16	相对角度姿态	7.89	10.32
